,Iamge Path,Iamge Label
0,/root/StrokeDataset/Normal/PNG/16286.png,0
1,/root/StrokeDataset/Normal/PNG/11009.png,0
2,/root/StrokeDataset/Normal/PNG/13916.png,0
3,/root/StrokeDataset/Normal/PNG/10275.png,0
4,/root/StrokeDataset/Normal/PNG/16085.png,0
5,/root/StrokeDataset/Normal/PNG/15624.png,0
6,/root/StrokeDataset/Ischemia/PNG/15231.png,1
7,/root/StrokeDataset/Normal/PNG/10316.png,0
8,/root/StrokeDataset/Normal/PNG/10482.png,0
9,/root/StrokeDataset/Bleeding/PNG/12454.png,2
10,/root/StrokeDataset/Normal/PNG/12733.png,0
11,/root/StrokeDataset/Normal/PNG/13550.png,0
12,/root/StrokeDataset/Ischemia/PNG/12309.png,1
13,/root/StrokeDataset/Bleeding/PNG/11548.png,2
14,/root/StrokeDataset/Ischemia/PNG/16748.png,1
15,/root/StrokeDataset/Normal/PNG/12418.png,0
16,/root/StrokeDataset/Bleeding/PNG/12179.png,2
17,/root/StrokeDataset/Normal/PNG/16708.png,0
18,/root/StrokeDataset/Normal/PNG/11451.png,0
19,/root/StrokeDataset/Normal/PNG/13438.png,0
20,/root/StrokeDataset/Normal/PNG/15587.png,0
21,/root/StrokeDataset/Normal/PNG/13856.png,0
22,/root/StrokeDataset/Normal/PNG/13761.png,0
23,/root/StrokeDataset/Ischemia/PNG/14348.png,1
24,/root/StrokeDataset/Normal/PNG/14769.png,0
25,/root/StrokeDataset/Bleeding/PNG/10223.png,2
26,/root/StrokeDataset/Bleeding/PNG/15892.png,2
27,/root/StrokeDataset/Ischemia/PNG/10599.png,1
28,/root/StrokeDataset/Normal/PNG/12469.png,0
29,/root/StrokeDataset/Normal/PNG/10142.png,0
30,/root/StrokeDataset/Normal/PNG/14388.png,0
31,/root/StrokeDataset/Normal/PNG/10229.png,0
32,/root/StrokeDataset/Normal/PNG/14109.png,0
33,/root/StrokeDataset/Normal/PNG/14258.png,0
34,/root/StrokeDataset/Normal/PNG/14383.png,0
35,/root/StrokeDataset/Normal/PNG/14060.png,0
36,/root/StrokeDataset/Bleeding/PNG/12658.png,2
37,/root/StrokeDataset/Normal/PNG/12870.png,0
38,/root/StrokeDataset/Normal/PNG/11111.png,0
39,/root/StrokeDataset/Normal/PNG/16982.png,0
40,/root/StrokeDataset/Normal/PNG/15836.png,0
41,/root/StrokeDataset/Bleeding/PNG/15558.png,2
42,/root/StrokeDataset/Normal/PNG/11628.png,0
43,/root/StrokeDataset/Ischemia/PNG/14057.png,1
44,/root/StrokeDataset/Normal/PNG/15036.png,0
45,/root/StrokeDataset/Normal/PNG/14567.png,0
46,/root/StrokeDataset/Bleeding/PNG/13111.png,2
47,/root/StrokeDataset/Normal/PNG/13040.png,0
48,/root/StrokeDataset/Normal/PNG/12117.png,0
49,/root/StrokeDataset/Bleeding/PNG/14833.png,2
50,/root/StrokeDataset/Normal/PNG/11051.png,0
51,/root/StrokeDataset/Normal/PNG/12588.png,0
52,/root/StrokeDataset/Normal/PNG/13732.png,0
53,/root/StrokeDataset/Normal/PNG/14987.png,0
54,/root/StrokeDataset/Normal/PNG/10291.png,0
55,/root/StrokeDataset/Normal/PNG/14981.png,0
56,/root/StrokeDataset/Normal/PNG/11937.png,0
57,/root/StrokeDataset/Normal/PNG/13323.png,0
58,/root/StrokeDataset/Normal/PNG/10246.png,0
59,/root/StrokeDataset/Normal/PNG/14540.png,0
60,/root/StrokeDataset/Bleeding/PNG/11952.png,2
61,/root/StrokeDataset/Normal/PNG/11972.png,0
62,/root/StrokeDataset/Normal/PNG/15713.png,0
63,/root/StrokeDataset/Normal/PNG/14266.png,0
64,/root/StrokeDataset/Normal/PNG/13322.png,0
65,/root/StrokeDataset/Ischemia/PNG/15981.png,1
66,/root/StrokeDataset/Bleeding/PNG/11789.png,2
67,/root/StrokeDataset/Normal/PNG/12754.png,0
68,/root/StrokeDataset/Normal/PNG/12793.png,0
69,/root/StrokeDataset/Normal/PNG/16506.png,0
